,Coin,Cur. Rank,Close,Date,High,Low,Market Cap,Open,Volume
2,nem,15,0.281759,"Mar 18, 2018",0.285960,0.224753,"2,549,350,000",0.283261,"72,757,100"
3,nem,15,0.281779,"Mar 17, 2018",0.340714,0.279494,"3,066,430,000",0.340714,"55,729,900"
4,nem,15,0.338381,"Mar 16, 2018",0.386193,0.336487,"3,429,490,000",0.381054,"47,704,200"
5,nem,15,0.376528,"Mar 15, 2018",0.427301,0.338700,"3,781,310,000",0.420145,"96,351,900"
6,nem,15,0.399253,"Mar 14, 2018",0.524337,0.391035,"4,254,230,000",0.472692,"164,630,000"
7,nem,15,0.465787,"Mar 13, 2018",0.477692,0.390232,"3,512,090,000",0.390232,"144,069,000"
8,nem,15,0.390672,"Mar 12, 2018",0.412719,0.345692,"3,153,150,000",0.350350,"90,235,500"
9,nem,15,0.350379,"Mar 11, 2018",0.361351,0.334325,"3,068,230,000",0.340915,"29,528,800"
10,nem,15,0.341924,"Mar 10, 2018",0.357122,0.337643,"3,048,810,000",0.338757,"24,086,700"
0,binance-coin,16,9.16,"Mar 20, 2018",9.24,8.66,"889,857,000",8.99,"96,919,500"
1,binance-coin,16,8.99,"Mar 19, 2018",9.26,8.50,"900,038,000",9.09,"97,938,900"
2,binance-coin,16,8.95,"Mar 18, 2018",8.96,7.86,"886,910,000",8.96,"94,840,300"
3,binance-coin,16,8.99,"Mar 17, 2018",9.50,8.66,"910,826,000",9.20,"94,679,900"
4,binance-coin,16,9.11,"Mar 16, 2018",9.39,8.64,"904,246,000",9.13,"97,626,000"
5,binance-coin,16,9.10,"Mar 15, 2018",9.40,8.42,"885,637,000",8.94,"104,531,000"
6,binance-coin,16,8.96,"Mar 14, 2018",10.67,8.55,"1,003,010,000",10.13,"124,112,000"
7,binance-coin,16,10.12,"Mar 13, 2018",11.00,7.90,"792,009,000",8.00,"216,111,000"
8,binance-coin,16,8.04,"Mar 12, 2018",8.55,7.74,"821,728,000",8.30,"51,188,100"
9,binance-coin,16,8.27,"Mar 11, 2018",8.42,7.38,"757,333,000",7.65,"45,451,700"
10,binance-coin,16,7.67,"Mar 10, 2018",8.35,7.63,"818,561,000",8.27,"41,645,000"
0,ethereum-classic,17,20.21,"Mar 20, 2018",21.07,18.01,"1,973,450,000",19.61,"432,819,000"
1,ethereum-classic,17,19.65,"Mar 19, 2018",19.65,16.33,"1,701,120,000",16.91,"315,268,000"
2,ethereum-classic,17,16.79,"Mar 18, 2018",16.91,14.48,"1,634,110,000",16.25,"233,157,000"
3,ethereum-classic,17,16.32,"Mar 17, 2018",17.97,16.09,"1,785,600,000",17.76,"154,703,000"
4,ethereum-classic,17,17.78,"Mar 16, 2018",18.51,17.33,"1,859,700,000",18.50,"201,541,000"
5,ethereum-classic,17,18.41,"Mar 15, 2018",19.31,15.94,"1,727,880,000",17.19,"368,178,000"
6,ethereum-classic,17,17.15,"Mar 14, 2018",20.22,16.25,"2,004,500,000",19.95,"201,571,000"
7,ethereum-classic,17,19.92,"Mar 13, 2018",20.84,19.74,"2,055,300,000",20.46,"178,296,000"
8,ethereum-classic,17,20.50,"Mar 12, 2018",21.79,20.14,"2,166,290,000",21.57,"222,694,000"
9,ethereum-classic,17,21.58,"Mar 11, 2018",21.85,19.97,"2,096,350,000",20.88,"278,368,000"
10,ethereum-classic,17,20.91,"Mar 10, 2018",22.93,20.78,"2,260,360,000",22.51,"262,771,000"
0,vechain,18,3.70,"Mar 20, 2018",3.89,3.47,"1,943,940,000",3.80,"85,168,900"
1,vechain,18,3.76,"Mar 19, 2018",3.89,3.55,"1,863,440,000",3.68,"79,043,900"
2,vechain,18,3.71,"Mar 18, 2018",3.76,2.95,"1,857,460,000",3.71,"84,708,700"
3,vechain,18,3.69,"Mar 17, 2018",4.07,3.56,"1,943,650,000",3.91,"74,617,800"
4,vechain,18,3.90,"Mar 16, 2018",4.06,3.61,"1,867,640,000",3.78,"76,375,000"
5,vechain,18,3.78,"Mar 15, 2018",3.97,3.42,"1,873,350,000",3.82,"82,232,600"
6,vechain,18,3.85,"Mar 14, 2018",4.59,3.79,"2,102,300,000",4.31,"96,115,800"
7,vechain,18,4.27,"Mar 13, 2018",4.38,3.96,"1,953,490,000",4.00,"112,069,000"
8,vechain,18,4.02,"Mar 12, 2018",4.26,3.75,"1,878,560,000",3.87,"118,397,000"
9,vechain,18,3.88,"Mar 11, 2018",3.93,3.32,"1,672,220,000",3.47,"68,766,600"
10,vechain,18,3.50,"Mar 10, 2018",3.89,3.45,"1,786,280,000",3.71,"65,018,300"
0,qtum,19,20.77,"Mar 20, 2018",22.08,18.51,"1,563,690,000",21.14,"681,013,000"
1,qtum,19,20.29,"Mar 19, 2018",20.70,13.31,"994,298,000",13.44,"445,147,000"
2,qtum,19,13.48,"Mar 18, 2018",13.73,11.18,"1,001,320,000",13.54,"134,149,000"
3,qtum,19,13.57,"Mar 17, 2018",15.10,13.08,"1,105,950,000",14.95,"97,763,200"
4,qtum,19,14.98,"Mar 16, 2018",15.88,14.66,"1,166,070,000",15.77,"105,734,000"
5,qtum,19,15.72,"Mar 15, 2018",16.49,14.49,"1,192,180,000",16.12,"134,349,000"
6,qtum,19,16.19,"Mar 14, 2018",18.73,15.87,"1,344,980,000",18.19,"96,771,400"
7,qtum,19,18.18,"Mar 13, 2018",18.80,17.87,"1,357,120,000",18.35,"102,287,000"
8,qtum,19,18.46,"Mar 12, 2018",19.95,18.03,"1,446,380,000",19.56,"122,222,000"
9,qtum,19,19.71,"Mar 11, 2018",19.97,17.57,"1,359,220,000",18.38,"115,316,000"
10,qtum,19,18.21,"Mar 10, 2018",20.15,18.13,"1,447,140,000",19.57,"118,137,000"
0,verge,20,0.034810,"Mar 20, 2018",0.035473,0.030078,"465,980,000",0.031634,"11,984,800"
1,verge,20,0.031449,"Mar 19, 2018",0.031761,0.028708,"437,676,000",0.029721,"9,011,470"
2,verge,20,0.029510,"Mar 18, 2018",0.030319,0.023956,"418,196,000",0.028406,"9,843,710"
3,verge,20,0.028408,"Mar 17, 2018",0.033080,0.028070,"486,805,000",0.033076,"6,718,990"
4,verge,20,0.032892,"Mar 16, 2018",0.034847,0.030283,"465,157,000",0.031614,"14,059,300"
5,verge,20,0.031201,"Mar 15, 2018",0.031776,0.027721,"461,339,000",0.031363,"9,724,440"
6,verge,20,0.031378,"Mar 14, 2018",0.037727,0.030236,"531,762,000",0.036160,"8,475,110"
7,verge,20,0.036173,"Mar 13, 2018",0.038808,0.035825,"549,755,000",0.037394,"6,449,030"
8,verge,20,0.037688,"Mar 12, 2018",0.040894,0.035862,"574,353,000",0.039078,"8,081,210"
9,verge,20,0.039274,"Mar 11, 2018",0.039858,0.034626,"532,268,000",0.036216,"7,920,510"
10,verge,20,0.036487,"Mar 10, 2018",0.042399,0.035577,"576,083,000",0.039218,"11,953,300"
0,omisego,21,12.08,"Mar 20, 2018",12.53,10.66,"1,177,690,000",11.54,"46,839,900"
1,omisego,21,11.45,"Mar 19, 2018",11.45,10.06,"1,073,390,000",10.52,"42,172,600"
2,omisego,21,10.47,"Mar 18, 2018",10.53,8.44,"1,002,780,000",9.83,"39,837,300"
3,omisego,21,9.86,"Mar 17, 2018",11.26,9.82,"1,145,240,000",11.22,"30,985,800"
4,omisego,21,11.22,"Mar 16, 2018",11.83,10.83,"1,155,630,000",11.32,"28,698,800"
5,omisego,21,11.31,"Mar 15, 2018",11.73,10.34,"1,193,950,000",11.70,"44,593,200"
6,omisego,21,11.69,"Mar 14, 2018",13.75,11.34,"1,388,970,000",13.61,"28,942,400"
7,omisego,21,13.75,"Mar 13, 2018",14.14,12.98,"1,401,840,000",13.74,"24,721,000"
8,omisego,21,13.78,"Mar 12, 2018",14.84,13.47,"1,496,030,000",14.66,"23,439,900"
9,omisego,21,14.68,"Mar 11, 2018",14.98,12.85,"1,368,720,000",13.41,"30,486,600"
10,omisego,21,13.44,"Mar 10, 2018",15.36,13.25,"1,531,680,000",15.01,"44,982,900"
0,lisk,22,13.63,"Mar 20, 2018",14.11,12.43,"1,328,050,000",12.89,"26,259,400"
